epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8548856973648071,9.999999747378752e-06,0.44576483964920044,0.8850657343864441,0.443966269493103
1,0.8962008357048035,9.999999747378752e-06,0.30860403180122375,0.9022700190544128,0.35391485691070557
2,0.9134836792945862,9.999999747378752e-06,0.26028740406036377,0.9144563674926758,0.28003284335136414
3,0.925244152545929,9.999999747378752e-06,0.21823588013648987,0.925209105014801,0.24067211151123047
4,0.9313800930976868,9.999999747378752e-06,0.19906233251094818,0.9381123185157776,0.21006187796592712
5,0.9400725960731506,9.999999747378752e-06,0.17224153876304626,0.9345280528068542,0.20641885697841644
6,0.946770966053009,9.999999747378752e-06,0.15196837484836578,0.9400238990783691,0.1932901293039322
7,0.9504013657569885,9.999999747378752e-06,0.14453929662704468,0.9393070340156555,0.1876211315393448
8,0.954849898815155,9.999999747378752e-06,0.12490493804216385,0.9488649964332581,0.1628236621618271
9,0.9594518542289734,9.999999747378752e-06,0.11882545053958893,0.9452807903289795,0.17308254539966583
